Tiempo,Fuerza
0.486,-0.55
0.576,-0.55
0.666,-0.55
0.756,-0.55
0.846,-0.55
0.936,-0.55
1.027,-0.55
1.118,-0.55
1.208,-0.55
1.298,-0.54
1.388,-0.54
1.478,-0.54
1.568,-0.54
1.658,-0.53
1.748,-0.53
1.839,-0.54
1.929,-0.54
2.019,-0.54
2.109,-0.54
2.199,-0.54
2.289,-0.54
2.379,-0.53
2.469,-0.54
2.56,-0.54
2.65,-0.54
2.74,-0.53
2.83,-0.54
2.92,-0.54
3.01,-0.54
3.1,-0.53
3.19,-0.54
3.28,-0.53
3.371,-0.54
3.461,-0.54
3.551,-0.54
3.641,-0.54
3.731,-0.53
3.821,-0.54
3.912,-0.54
4.002,-0.54
4.092,-0.54
4.183,-0.54
4.273,-0.53
4.363,-0.53
4.453,-0.53
4.543,-0.53
4.633,-0.53
4.723,-0.54
4.813,-0.54
4.903,-0.53
4.994,-0.53
5.084,-0.53
5.174,-0.53
5.264,-0.53
5.354,-0.53
5.444,-0.53
5.535,-0.53
5.625,-0.53
5.715,-0.53
5.806,-0.53
5.896,-0.53
5.986,-0.53
6.076,-0.53
6.166,-0.53
6.256,-0.54
6.346,-0.54
6.436,-0.53
6.526,-0.53
6.617,-0.53
6.707,-0.53
6.797,-0.53
6.887,-0.53
6.977,-0.53
7.068,-0.53
7.158,-0.53
7.248,-0.54
7.339,-0.54
7.429,-0.53
7.519,-0.53
7.609,-0.53
7.699,-0.53
7.789,-0.54
7.879,-0.53
7.969,-0.52
8.059,-0.53
8.15,-0.54
8.24,-0.53
8.33,-0.53
8.42,-0.53
8.51,-0.53
8.6,-0.54
8.69,-0.54
8.781,-0.54
8.871,-0.54
8.962,-0.53
9.052,-0.53
9.142,-0.54
9.232,-0.54
9.322,-0.53
9.412,-0.53
9.502,-0.54
9.592,-0.54
9.682,-0.53
9.773,-0.54
9.863,-0.54
9.953,-0.54
10.043,-0.54
10.133,-0.54
10.223,-0.54
10.313,-0.54
10.403,-0.54
10.493,-0.54
10.584,-0.54
10.675,-0.53
10.765,-0.53
10.855,-0.53
10.945,-0.53
11.035,-0.53
11.125,-0.53
11.215,-0.53
11.305,-0.53
11.396,-0.53
11.486,-0.53
11.576,-0.54
11.666,-0.53
11.756,-0.54
11.846,-0.54
11.936,-0.53
12.026,-0.54
12.116,-0.54
12.207,-0.54
12.297,-0.54
12.387,-0.54
12.477,-0.53
12.567,-0.53
12.657,-0.53
12.748,-0.53
12.838,-0.53
12.929,-0.53
13.019,-0.53
13.109,-0.53
13.199,-0.53
13.289,-0.54
13.379,-0.53
13.469,-0.54
13.559,-0.54
13.649,-0.54
13.74,-0.54
13.83,-0.54
13.92,-0.54
14.01,-0.53
14.1,-0.53
14.19,-0.53
14.28,-0.53
14.371,-0.53
14.461,-0.53
14.552,-0.53
14.642,-0.53
14.732,-0.53
14.822,-0.53
14.912,-0.53
15.002,-0.53
15.092,-0.53
15.182,-0.53
15.272,-0.52
15.363,-0.53
15.453,-0.53
15.543,-0.53
15.633,-0.53
15.723,-0.53
15.813,-0.54
15.904,-0.53
15.994,-0.54
16.084,-0.54
16.175,-0.54
16.265,-0.53
16.355,-0.53
16.445,-0.54
16.535,-0.54
16.625,-0.54
16.715,-0.54
16.805,-0.54
16.896,-0.53
16.986,-0.53
17.076,-0.54
17.166,-0.53
17.256,-0.53
17.347,-0.54
17.437,-0.54
17.527,-0.54
17.617,-0.53
17.708,-0.54
17.798,-0.54
17.888,-0.53
17.978,-0.54
18.068,-0.53
18.158,-0.53
18.248,-0.53
18.338,-0.53
18.428,-0.53
18.519,-0.53
18.609,-0.53
18.699,-0.53
18.789,-0.53
18.88,-0.53
18.97,-0.53
19.06,-0.53
19.15,-0.53
19.24,-0.54
19.331,-0.53
19.421,-0.53
19.511,-0.53
19.601,-0.53
19.691,-0.53
19.781,-0.53
19.871,-0.54
19.961,-0.54
20.051,-0.53
20.142,-0.54
20.232,-0.54
20.323,-0.53
20.413,-0.53
20.503,-0.53
20.593,-0.53
20.683,-0.53
20.773,-0.54
20.864,-0.53
20.954,-0.53
21.044,-0.54
21.134,-0.54
21.224,-0.53
21.314,-0.54
21.404,-0.53
21.494,-0.53
21.584,-0.53
21.675,-0.54
21.766,-0.54
21.856,-0.53
21.946,-0.53
22.036,-0.53
22.126,-0.53
22.216,-0.53
22.306,-0.54
22.396,-0.54
22.487,-0.53
22.577,-0.53
22.667,-0.53
22.757,-0.53
22.847,-0.54
22.937,-0.54
23.027,-0.53
23.117,-0.53
23.207,-0.53
23.298,-0.53
23.389,-0.53
23.479,-0.54
23.569,-0.53
23.659,-0.53
23.749,-0.53
23.839,-0.53
23.929,-0.53
24.019,-0.53
24.11,-0.53
24.2,-0.53
24.29,-0.53
24.38,-0.53
24.47,-0.53
24.56,-0.54
24.65,-0.54
24.74,-0.53
24.832,-0.53
24.922,-0.53
25.012,-0.53
25.102,-0.53
25.192,-0.53
25.282,-0.53
25.372,-0.53
25.462,-0.53
25.552,-0.53
25.643,-0.54
25.733,-0.54
25.823,-0.53
25.913,-0.53
26.003,-0.53
26.093,-0.53
26.183,-0.53
26.273,-0.53
26.364,-0.53
26.455,-0.54
26.545,-0.54
26.635,-0.53
26.725,-0.53
26.815,-0.53
26.905,-0.53
26.995,-0.53
27.085,-0.53
27.175,-0.53
27.266,-0.54
27.356,-0.54
27.446,-0.53
27.536,-0.53
27.626,-0.53
27.716,-0.53
27.807,-0.53
27.897,-0.53
27.987,-0.53
28.078,-0.54
28.168,-0.54
28.258,-0.54
28.348,-0.54
28.438,-0.54
28.528,-0.53
28.618,-0.53
28.708,-0.54
28.798,-0.53
28.889,-0.53
28.979,-0.53
29.069,-0.53
29.159,-0.53
29.249,-0.53
29.339,-0.53
29.43,-0.53
29.52,-0.53
29.611,-0.54
29.701,-0.53
29.791,-0.53
29.881,-0.54
29.971,-0.53
30.061,-0.53
30.151,-0.53
30.241,-0.53
30.331,-0.53
30.422,-0.53
30.512,-0.54
30.602,-0.53
30.692,-0.54
30.782,-0.54
30.872,-0.54
30.962,-0.54
31.052,-0.53
31.143,-0.53
31.234,-0.53
31.324,-0.54
31.414,-0.54
31.504,-0.53
31.594,-0.53
31.684,-0.53
31.774,-0.53
31.864,-0.54
31.954,-0.53
32.045,-0.53
32.135,-0.53
32.225,-0.53
32.315,-0.53
32.405,-0.53
32.495,-0.53
32.585,-0.53
32.675,-0.53
32.765,-0.53
32.856,-0.53
32.946,-0.53
33.036,-0.54
33.126,-0.54
33.216,-0.54
33.307,-0.54
33.397,-0.54
33.487,-0.53
33.577,-0.53
33.668,-0.54
33.758,-0.54
33.848,-0.54
33.938,-0.53
34.028,-0.53
34.118,-0.53
34.208,-0.53
34.298,-0.53
34.388,-0.53
34.479,-0.53
34.569,-0.52
34.659,-0.51
34.75,-0.52
34.84,-0.49
34.93,-0.42
35.02,1.15
35.11,11.5
35.201,21.79
35.291,25.58
35.381,30.5
35.471,43.93
35.561,64.71
35.651,93.83
35.741,145.54
35.831,178.56
35.921,193.63
36.012,202.88
36.102,202.34
36.192,177.94
36.283,121.01
36.373,73.6
36.463,50.49
36.553,38.71
36.643,31.96
36.733,26.96
36.824,21.68
36.914,16.85
37.004,13.34
37.094,9.5
37.184,4.75
37.274,1.08
37.364,0.03
37.454,-0.07
37.544,-0.09
37.635,-0.11
37.726,-0.12
37.816,-0.13
37.906,-0.13
37.996,-0.14
38.086,-0.17
38.176,-0.18
38.266,-0.19
38.356,-0.19
38.447,-0.21
38.537,-0.22
38.627,-0.22
38.717,-0.23
38.807,-0.24
38.897,-0.25
38.987,-0.26
39.077,-0.27
39.169,-0.28
39.259,-0.29
39.349,-0.3
39.439,-0.3
39.529,-0.3
39.619,-0.31
39.709,-0.32
39.799,-0.33
39.889,-0.33
39.98,-0.34
40.07,-0.35
40.16,-0.36
40.25,-0.36
40.34,-0.37
40.43,-0.37
40.52,-0.37
40.611,-0.38
40.701,-0.38
40.792,-0.39
40.882,-0.4
40.972,-0.4
41.062,-0.4
41.152,-0.41
41.242,-0.41
41.332,-0.41
41.422,-0.41
41.512,-0.41
41.603,-0.42
41.693,-0.42
41.783,-0.42
41.873,-0.42
41.963,-0.42
42.054,-0.43
42.144,-0.43
42.234,-0.43
42.324,-0.44
42.415,-0.44
42.505,-0.44
42.595,-0.45
42.685,-0.46
42.775,-0.46
42.865,-0.46
42.955,-0.46
43.045,-0.47
43.136,-0.47
43.226,-0.47
43.316,-0.47
43.406,-0.48
43.496,-0.48
43.586,-0.48
43.676,-0.48
43.766,-0.48
43.857,-0.48
43.948,-0.48
44.038,-0.49
44.128,-0.49
44.218,-0.49
44.308,-0.5
44.398,-0.5
44.488,-0.51
44.578,-0.51
44.668,-0.51
44.759,-0.51
44.849,-0.52
44.939,-0.52
45.029,-0.52
45.119,-0.52
45.21,-0.52
45.3,-0.52
45.39,-0.53
45.48,-0.53
45.571,-0.52
45.661,-0.53
45.751,-0.53
45.841,-0.53
45.931,-0.53
46.021,-0.53
46.111,-0.54
46.201,-0.54
46.291,-0.54
46.382,-0.54
46.472,-0.54
46.562,-0.54
46.653,-0.54
46.743,-0.54
46.833,-0.55
46.923,-0.55
47.013,-0.55
47.104,-0.55
47.194,-0.55
47.284,-0.55
47.374,-0.55
47.464,-0.55
47.554,-0.55
47.644,-0.55
47.734,-0.56
47.824,-0.56
47.915,-0.56
48.005,-0.56
48.095,-0.56
48.185,-0.56
48.275,-0.56
48.366,-0.56
48.456,-0.55
48.546,-0.56
48.636,-0.56
48.727,-0.56
48.817,-0.57
48.907,-0.56
48.997,-0.57
49.087,-0.57
49.177,-0.56
49.267,-0.56
49.357,-0.56
49.447,-0.56
49.538,-0.57
49.628,-0.57
49.718,-0.57
49.808,-0.57
49.898,-0.57
49.988,-0.58
50.078,-0.57
50.168,-0.57
50.259,-0.57
50.35,-0.57
50.44,-0.57
50.53,-0.57
50.62,-0.57
50.71,-0.57
50.8,-0.57
50.89,-0.57
50.98,-0.57
51.07,-0.57
51.161,-0.56
51.251,-0.56
51.341,-0.57
51.431,-0.56
51.521,-0.56
51.611,-0.56
51.701,-0.56
51.791,-0.56
51.881,-0.56
51.972,-0.56
52.062,-0.55
52.153,-0.54
52.243,-0.55
52.333,-0.55
52.423,-0.55
52.513,-0.55
52.603,-0.55
52.694,-0.55
52.784,-0.55
52.874,-0.56
52.964,-0.57
53.054,-0.57
53.144,-0.57
53.234,-0.56
53.324,-0.56
53.414,-0.56
53.505,-0.56
53.595,-0.56
53.685,-0.56
53.776,-0.56
53.866,-0.56
53.956,-0.57
54.046,-0.57
54.136,-0.56
54.226,-0.57
54.317,-0.57
54.407,-0.56
54.497,-0.57
54.587,-0.57
54.677,-0.57
54.767,-0.57
54.857,-0.57
54.947,-0.57
55.037,-0.57
55.128,-0.57
55.219,-0.57
55.309,-0.57
55.399,-0.57
55.489,-0.57
55.579,-0.57
55.669,-0.57
55.759,-0.57
55.849,-0.57
55.94,-0.57
56.03,-0.57
56.12,-0.57
56.21,-0.56
56.3,-0.56
56.39,-0.57
56.48,-0.57
56.57,-0.58
56.66,-0.57
56.752,-0.57
56.842,-0.57
56.932,-0.57
57.022,-0.57
57.112,-0.57
57.202,-0.56
57.292,-0.57
57.382,-0.57
57.473,-0.57
57.563,-0.57
57.653,-0.56
57.743,-0.56
57.833,-0.56
57.923,-0.56
58.013,-0.57
58.103,-0.57
58.194,-0.57
58.285,-0.57
