Tiempo	Presión (Bar)
0:00:59:28	-0,83
0:00:59:41	-0,87
0:00:59:57	-0,39
0:00:59:71	-0,87
0:00:59:84	-0,34
0:00:59:97	-0,61
0:01:00:09	-0,87
0:01:00:22	2,2
0:01:00:33	-0,87
0:01:00:64	-0,83
0:01:00:92	13
0:01:01:05	24,5
0:01:01:18	36
0:01:01:28	36
0:01:01:42	68
0:01:01:55	100
0:01:01:69	135
0:01:01:90	170
0:01:02:03	170
0:01:02:15	170
0:01:02:26	170
0:01:02:39	170
0:01:02:52	170
0:01:02:65	170
0:01:02:77	170
0:01:02:89	160
0:01:03:01	170
0:01:03:18	160
0:01:03:35	160
0:01:03:49	160
0:01:03:63	160
0:01:03:79	155
0:01:03:93	150
0:01:04:09	160
0:01:04:13	150
0:01:04:26	150
0:01:04:38	145
0:01:04:50	140
0:01:04:64	140
0:01:04:74	140
0:01:04:87	140
0:01:04:99	135
0:01:05:12	135
0:01:05:25	130
0:01:05:31	130
0:01:05:48	120
0:01:05:62	120
0:01:05:77	120
0:01:05:92	120
0:01:06:04	160
0:01:06:18	120
0:01:06:32	115
0:01:06:45	115
0:01:06:57	110
0:01:06:71	115
0:01:06:82	120
0:01:06:97	120
0:01:07:11	115
0:01:07:24	110
0:01:07:38	102,5
0:01:07:52	95
0:01:07:65	88
0:01:07:78	88
0:01:07:89	81
0:01:08:03	78
0:01:08:15	75
0:01:08:28	75
0:01:08:41	70
0.01:08:56	65
0:01:08:73	61,5
0:01:08:86	58
0:01:09:00	89
0:01:09:13	120
0:01:09:29	56
0:01:09:45	48
0:01:09:59	40
0:01:09:69	33
0:01:09:79	33
0:01:09:90	26
0:01:09:97	26
0:01:10:01	98
0:01:10:10	170
0:01:10:11	95
0:01:10:22	20
0:01:10:33	18,5
0:01:10:44	18,5
0:01:10:57	17
0:01:10:67	14
0:01:10:77	14
0:01.10:90	11
0:01:11:03	100
0:01:11:14	53,85
0:01:11:28	7,7
0:01:11:42	5,65
0:01:11:54	3,6
0:01:11:67	170
0:01:11:81	120
0:01:11:94	0,28
0:01:12:03	-0,83
0:01:12:13	-0,87
0:01:12:25	-0,52
0:01:12:36	-0,87
0:01:12:48	40
0.01:12:62	-0,78
0:01:12:71	-0,92
0:01:12:83	-0,83
0:01:12:95	-0,83
0:01:13:07	-0,87
0:01.13:18	-0,92
0:01:13:32	-0,87
0:01:13:39	-0,87
