Time - Plot 0	Bar - Plot 0	
44:11,7	0,322086
44:11,8	-0,209223
44:11,8	1,42898
44:11,8	1,91602
44:11,8	2,44732
44:11,8	4,26263
44:11,8	4,74967
44:11,8	6,60925
44:11,8	7,05201
44:11,8	8,07035
44:11,9	8,46883
44:11,9	9,70856
44:11,9	10,2841
44:11,9	11,9223
44:11,9	12,8079
44:11,9	13,2063
44:11,9	14,2247
44:11,9	14,3575
44:11,9	15,2873
44:12,0	15,1102
44:12,0	16,04
44:12,0	16,2614
44:12,0	16,3499
44:12,0	17,4125
44:12,0	16,9698
44:12,0	17,8996
44:12,0	17,9439
44:12,0	18,5194
44:12,1	18,8294
44:12,1	19,0065
44:12,1	19,5378
44:12,1	20,0248
44:12,1	20,7775
44:12,1	20,9989
44:12,1	22,1058
44:12,1	22,7256
44:12,2	24,231
44:12,2	25,2494
44:12,2	26,5776
44:12,2	27,5517
44:12,2	29,4556
44:12,2	30,3411
44:12,2	32,2007
44:12,2	33,1747
44:12,2	34,503
44:12,3	34,503
44:12,3	36,4069
44:12,3	37,0267
44:12,3	38,3107
44:12,3	39,5504
44:12,3	41,3658
44:12,3	43,9337
44:12,3	45,3948
44:12,4	47,0773
44:12,4	49,5568
44:12,4	50,2652
44:12,4	52,1248
44:12,4	52,8332
44:12,4	53,9844
44:12,4	55,6226
44:12,4	56,1096
44:12,4	58,0135
44:12,5	58,0135
44:12,5	60,2715
44:12,5	60,9357
44:12,5	62,441
44:12,5	63,8136
44:12,5	64,9648
44:12,5	66,293
44:12,5	66,9129
44:12,5	69,7023
44:12,6	70,2778
44:12,6	72,0932
44:12,6	73,1558
44:12,6	74,4398
44:12,6	76,1665
44:12,6	76,3436
44:12,6	78,0261
44:12,6	78,5574
44:12,6	78,9559
44:12,7	79,6643
44:12,7	81,3911
44:12,7	82,2323
44:12,7	82,5865
44:12,7	83,6934
44:12,7	84,5789
44:12,7	85,9958
44:12,7	87,2798
44:12,8	87,0584
44:12,8	88,7409
44:12,8	88,0767
44:12,8	89,6706
44:12,8	89,7592
44:12,8	92,0615
44:12,8	92,8142
44:12,8	93,2127
44:12,8	94,7624
44:12,9	95,4708
44:12,9	96,4006
44:12,9	96,1792
44:12,9	99,5884
44:12,9	99,4113
44:12,9	101,182
44:12,9	101,979
44:12,9	102,378
44:12,9	102,422
44:13,0	104,813
44:13,0	105,123
44:13,0	105,034
44:13,0	106,186
44:13,0	106,008
44:13,0	106,628
44:13,0	104,105
44:13,0	104,99
44:13,0	103,485
44:13,1	102,334
44:13,1	101,669
44:13,1	99,1457
44:13,1	99,2342
44:13,1	97,2418
44:13,1	95,0723
44:13,1	92,2829
44:13,1	88,5638
44:13,1	85,7744
44:13,2	81,6567
44:13,2	78,6017
44:13,2	75,3253
44:13,2	73,2
44:13,2	69,2595
44:13,2	66,2487
44:13,2	64,035
44:13,2	61,1128
44:13,2	60,0944
44:13,3	58,3677
44:13,3	56,5966
44:13,3	53,8958
44:13,3	52,479
44:13,3	51,3721
44:13,3	48,9812
44:13,3	47,5201
44:13,3	45,4834
44:13,3	43,3582
44:13,4	42,9154
44:13,4	40,8787
44:13,4	40,2589
44:13,4	37,9565
44:13,4	37,0267
44:13,4	37,0267
44:13,4	35,5656
44:13,4	34,1931
44:13,5	33,1305
44:13,5	31,4037
44:13,5	30,7838
44:13,5	29,5884
44:13,5	28,2158
44:13,5	27,6403
44:13,5	26,8876
44:13,6	24,8066
44:13,6	24,8066
44:13,6	24,4524
44:13,6	23,2569
44:13,6	23,2569
44:13,6	22,2829
44:13,6	21,0874
44:13,6	21,2645
44:13,7	19,8034
44:13,7	20,5119
44:13,7	19,9805
44:13,7	18,8294
44:13,7	19,2721
44:13,7	18,3423
44:13,7	17,8553
44:13,7	17,8553
44:13,8	17,0583
44:13,8	17,1912
44:13,8	16,1728
44:13,8	15,9072
44:13,8	15,9072
44:13,8	15,1102
44:13,8	15,553
44:13,8	14,7117
44:13,8	14,8003
44:13,9	14,1361
44:13,9	13,2949
44:13,9	13,8262
44:13,9	12,985
44:13,9	13,0292
44:13,9	12,2766
44:13,9	12,7636
44:13,9	12,1437
44:14,0	11,5681
44:14,0	11,9666
44:14,0	11,2582
44:14,0	11,6124
44:14,0	10,8597
44:14,0	11,391
44:14,0	10,3284
44:14,0	10,5055
44:14,0	10,3284
44:14,1	9,79711
44:14,1	9,97421
44:14,1	9,31007
44:14,1	9,31007
44:14,1	8,91159
44:14,1	8,38028
44:14,1	8,51311
44:14,1	7,76042
44:14,1	8,33601
44:14,2	7,8047
44:14,2	7,89325
44:14,2	7,05201
44:14,2	7,18484
44:14,2	6,56497
44:14,2	6,78635
44:14,2	6,29932
44:14,2	6,38787
44:14,2	5,94511
44:14,3	5,81229
44:14,3	5,67946
44:14,3	5,32525
44:14,3	5,32525
44:14,3	4,21836
44:14,3	5,2367
44:14,3	4,12981
44:14,3	4,26263
44:14,3	3,68705
44:14,4	2,84581
44:14,4	3,81987
44:14,4	2,53588
44:14,4	2,93436
44:14,4	2,58015
44:14,4	1,91602
44:14,4	2,3145
44:14,4	1,29615
44:14,4	1,47326
44:14,5	0,897672
44:14,5	0,410638
44:14,5	0,80912
